term_en,definition_en,term_translated,definition_translated
Block,a large piece of a solid material that is square or rectangular in shape and usually has flat sides,பிளாக்,ஒரு திடப்பொருளின் பெரிய துண்டு சதுர அல்லது செவ்வக வடிவத்தில் இருக்கும் மற்றும் பொதுவாக தட்டையான பக்கங்களைக் கொண்டிருக்கும்
Television,a piece of electrical equipment with a screen on which you can watch programmes with moving pictures and sounds,தொலைக்காட்சி,நகரும் படங்கள் மற்றும் ஒலிகளைக் கொண்ட நிரல்களை நீங்கள் பார்க்கக்கூடிய திரையுடன் கூடிய மின் உபகரணங்கள்
Run,"to move using your legs, going faster than when you walk",ஓடவும்.,"உங்கள் கால்களைப் பயன்படுத்தி நகர்த்த, நீங்கள் நடக்கும்போது இருப்பதை விட வேகமாகச் செல்வது"
Play,"to do things for pleasure, as children do; to enjoy yourself, rather than work",விளையாடுங்கள்.,"குழந்தைகளைப் போலவே, மகிழ்ச்சிக்காக விஷயங்களைச் செய்வது; வேலையை விட உங்களை அனுபவிப்பது"
Hide,"and Seek a children’s game in which one player covers his or her eyes while the other players hide, and then tries to find them",மறைக்கவும்.,"குழந்தைகள் விளையாட்டைத் தேடுங்கள், அதில் ஒரு வீரர் தனது கண்களை மறைக்கிறார், மற்ற வீரர்கள் மறைக்கிறார்கள், பின்னர் அவற்றைக் கண்டுபிடிக்க முயற்சிக்கிறார்கள்."
Butter,"a soft yellow food made from cream, used in cooking and for spreading on bread",வெண்ணெய்,"கிரீம் கொண்டு தயாரிக்கப்படும் மென்மையான மஞ்சள் உணவு, சமையலுக்கும் ரொட்டியிலும் பயன்படுத்தப்படுகிறது"
Toast,slices of bread that have been made brown and dry by heating them on both sides in a toaster or under a grill,சிற்றுண்டி.,ஒரு டோஸ்டரில் அல்லது ஒரு கிரில்லின் கீழ் இருபுறமும் சூடாக்கி பழுப்பு மற்றும் உலர்த்தப்பட்ட ரொட்டி துண்டுகள்
Spicy,having a strong taste because spices have been added to it,காரமானது.,மசாலாப் பொருட்கள் சேர்க்கப்பட்டுள்ளதால் வலுவான சுவை கொண்டவை
Mangoes,"a tropical fruit with smooth yellow or red skin, that is soft and orange inside with a large seed",மாம்பழங்கள்,"மென்மையான மஞ்சள் அல்லது சிவப்பு தோல் கொண்ட ஒரு வெப்பமண்டல பழம், இது மென்மையானது மற்றும் ஆரஞ்சு நிறத்தில் ஒரு பெரிய விதையுடன் உள்ளே உள்ளது"
Favourite,liked more than others of the same kind,பிடித்தவை.,அதே வகையான மற்றவர்களை விட அதிகமாக விரும்பப்பட்டது
Gatekeeper,a person whose job is to check and control who is allowed to go through a gate,நுழைவாயில் காப்பாளர்,ஒரு வாயில் வழியாக செல்ல அனுமதிக்கப்படுபவரைச் சரிபார்த்துக் கட்டுப்படுத்துவது ஒரு நபரின் வேலை
Unattended,without the owner present; not being watched or cared for,கவனிக்கப்படாமல்,உரிமையாளர் இல்லாமல்; கவனிக்கப்படவோ பராமரிக்கப்படவோ இல்லை
Classroom,a room where a class of children or students is taught,வகுப்பறை,ஒரு வகுப்பு குழந்தைகள் அல்லது மாணவர்கள் கற்பிக்கப்படும் ஒரு அறை
Uniform,"the special set of clothes worn by all members of an organization or a group at work, or by children at school",சீருடை,ஒரு நிறுவனத்தின் அனைத்து உறுப்பினர்களாலும் அல்லது பணியிடத்தில் ஒரு குழுவாலும் அல்லது பள்ளியில் உள்ள குழந்தைகளாலும் அணியப்படும் சிறப்பு ஆடைகளின் தொகுப்பு
Activities,a thing that you do for interest or pleasure,செயல்பாடுகள்,வட்டி அல்லது இன்பத்திற்காக நீங்கள் செய்யும் ஒரு விஷயம்
Discipline,the practice of training people to obey rules and orders and punishing them if they do not; the controlled behaviour or situation that is the result of this training,ஒழுக்கம்,விதிகள் மற்றும் உத்தரவுகளுக்குக் கீழ்ப்படிய மக்களுக்கு பயிற்சி அளிக்கும் நடைமுறை மற்றும் அவர்கள் அவ்வாறு செய்யாவிட்டால் அவர்களைத் தண்டிக்கும் நடைமுறை; இந்த பயிற்சியின் விளைவாக இருக்கும் கட்டுப்படுத்தப்பட்ட நடத்தை அல்லது சூழ்நிலை
Playground,"an outdoor area where children can play, especially at a school or in a park or in a school playground",விளையாட்டு மைதானம்,"குழந்தைகள் விளையாடக்கூடிய ஒரு வெளிப்புற பகுதி, குறிப்பாக ஒரு பள்ளியில் அல்லது ஒரு பூங்காவில் அல்லது ஒரு பள்ளி விளையாட்டு மைதானத்தில்"
Neighbours,a person who lives next to you or near you,அண்டை வீட்டுக்காரர்கள்.,உங்களுக்கு அருகில் அல்லது உங்களுக்கு அருகில் வசிக்கும் ஒரு நபர்
Neighbourhood,a district or an area of a town; the people who live there 1,சுற்றுப்புறம்,ஒரு மாவட்டம் அல்லது ஒரு நகரத்தின் பகுதி; அங்கு வசிக்கும் மக்கள்
Bench,"a long seat for two or more people, usually made of wood",பெஞ்ச்,"இரண்டு அல்லது அதற்கு மேற்பட்ட நபர்களுக்கு நீண்ட இருக்கை, பொதுவாக மரத்தால் ஆனது"
Masjid,a building where Muslims go for prayer,மசூதி,முஸ்லிம்கள் பிரார்த்தனை செய்யச் செல்லும் கட்டிடம்
